Language,original,english,russian,,,
ktmenu_repetable,Повторюваний,Repetable,Повторюваний,,,
ktmenu_nonrepetable,Non-Repetable,Non-Repetable,"""Одноразовий""",,,
ktcollapse_available_quests," ""Available quests"""," ""Available quests""","""Доступнi завдання""",,,
ktcollapse_unavailable_quests," ""Unavailable quests"""," ""Unavailable quests""","""Недоступні завдання""",,,
ktcollapse_inprogress_quests," ""In progress"""," ""In progress""","""В процесi""",,,
ktcollapse_completed_quests," ""Completed quests"""," ""Completed quests""","""Виконані завдання""",,,
ktmenu_targets," ""Targets"""," ""Targets""","""Цiлi""",,,
ktmenu_rewards," ""Rewards"""," ""Rewards""","""Нагороди""",,,
ktmenu_btn_accept," ""Accept"""," ""Accept""","""Прийняти""",,,
ktmenu_btn_finish," ""Finish"""," ""Finish""","""Завершити""",,,
ktmenu_btn_cancel," ""Cancel"""," ""Cancel""","""Скасувати""",,,
ktmenu_modal_type," ""Type"""," ""Type""","""Вид""",,,
ktmenu_modal_time_limit," ""Time Limit"""," ""Time Limit""","""Термiн""",,,
ktmenu_modal_cooldown," ""Cooldown"""," ""Cooldown""","""Оновлення""",,,
ktmenu_modal_required," ""Required"""," ""Required""","""Вимоги""",,,
ktmenu_modal_cooldown_left_time," ""Unlocks after"""," ""Unlocks after""","""Відкриється через""",,,
ktmenu_modal_limit_left_time," ""Expires after"""," ""Expires after""","""Спливає через""",,,
ktnotif_error_title," ""Error"""," ""Error""","""Помилка""",,,
ktnotif_error_take_quest," ""Unable to accept the quest"""," ""Unable to accept the quest""","""Неможливо прийняти завдання""",,,
ktnotif_error_finish_quest," ""Unable to finish the quest"""," ""Unable to finish the quest""","""Неможливо завершити завдання""",,,
ktnotif_failed_quest_title," ""Quest Failed"""," ""Quest Failed""","""Завдання провалено""",,,
ktnotif_failed_quest_desc," ""Quest %1 failed"""," ""Quest %1 failed""","""Завдання %1 провалено""",,,
ktnotif_complited_quest_title," ""Quest completed"""," ""Quest completed""","""Завдання виконано""",,,
ktnotif_complited_quest_desc," ""The quest %1 is successfully completed"," come back for the reward."""," ""The quest %1 is successfully completed"," come back for the reward.""","""Завдання %1 успiшно завершено","повертайся за нагородою."""
ktnotif_apply_quest_title," ""Quest accepted"""," ""Quest accepted""","""Завдання прийнято""",,,
ktnotif_apply_quest_desc," ""Quest %1 accepted"""," ""Quest %1 accepted""","""Завдання %1 прийнято""",,,
ktmenu_modal_never," ""Never"""," ""Never""","""Нiколи""",,,
ktmenu_modal_not_limited," ""Unlimited"""," ""Unlimited""","""Не обмежено""",,,
ktreward_not_enough_space_title," ""Not enough space"""," ""Not enough space""","""Недостатньо мiсця""",,,
ktreward_not_enough_space_desc," ""The reward drops to the ground"""," ""The reward drops to the ground""","""Нагорода випала на землю""",,,
STR_ktreward_button_desc," ""Open quest book"""," ""Open quest book""","""Відкрити книгу завдань""",,,
